%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
2.244619e+000	160458
2.282888e+000	159509
2.463398e+000	151565
3.100859e+000	150484
3.163983e+000	149894
3.614785e+000	145821
3.652434e+000	144504
4.916364e+000	140213
4.960427e+000	138711
2.427627e+001	137073
2.628726e+001	137048
2.632461e+001	136651
2.816942e+001	136554
2.821705e+001	136197
2.876830e+001	133443
2.902811e+001	133135
6.134120e+001	133026
6.137937e+001	132860
6.147698e+001	132581
6.215439e+001	132512
6.266128e+001	132313
6.318653e+001	132175
6.349569e+001	131817
9.212243e+001	131309
9.385038e+001	130950
9.396375e+001	130502
1.594277e+002	130438
1.595436e+002	130257
1.595822e+002	130116
1.597459e+002	130114
1.599704e+002	130023
1.651350e+002	129958
2.028407e+002	129674
2.038108e+002	129470
2.038398e+002	129404
2.064085e+002	129261
2.064665e+002	129118
2.150629e+002	128990
2.151627e+002	128656
2.153424e+002	127519
2.162203e+002	126954
2.177312e+002	126861
2.206750e+002	126008
2.449631e+002	125802
2.474726e+002	125766
2.623207e+002	125149
2.877565e+002	125097
2.879937e+002	125071
2.882047e+002	124860
2.899424e+002	124849
2.907493e+002	124823
1.068799e+003	124334
1.069157e+003	124138
1.069528e+003	123234
1.069990e+003	123024
3.078254e+003	122941
3.078260e+003	122837
