%NL14, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.15244e000     261124
4.154110e+000	251125
4.408176e+000	245502
4.419953e+000	245148
4.564026e+000	245051
4.625193e+000	244806
4.628681e+000	243501
4.671657e+000	243274
4.682617e+000	242887
5.602039e+000	242864
2.054346e+001	242443
2.056145e+001	242102
2.074450e+001	241514
2.106198e+001	241334
2.110368e+001	241159
2.152695e+001	240144
2.154580e+001	240089
2.179276e+001	239951
2.182722e+001	239744
2.190806e+001	238500
3.807331e+001	237101
4.590156e+001	236939
4.762277e+001	236152
4.826244e+001	236040
4.836476e+001	234990
4.850773e+001	234386
4.854369e+001	233872
4.856813e+001	233830
5.065001e+001	233787
5.079497e+001	233595
5.086545e+001	233372
5.097558e+001	232751
6.613807e+001	231092
6.626468e+001	228942
7.067342e+001	228917
7.076154e+001	228853
7.274452e+001	227755
8.155376e+001	226924
8.199621e+001	226187
8.206723e+001	225895
8.215672e+001	225302
8.219122e+001	225101
8.227574e+001	225030
8.360677e+001	224947
8.375071e+001	224623
9.397931e+001	224420
9.431380e+001	224417
9.896349e+001	224403
9.897743e+001	224321
1.359962e+002	224290
1.365280e+002	223686
1.365338e+002	223561
1.366904e+002	223218
1.843832e+002	222985
1.843901e+002	222965
1.844361e+002	222870
1.880255e+002	222652
2.246210e+002	222649
3.560354e+002	222277
3.574367e+002	222256
3.638449e+002	221514
3.647467e+002	221503
3.648950e+002	221438
3.692965e+002	220635
3.713542e+002	220253
3.734128e+002	220175
3.742745e+002	220170
3.915868e+002	220005
4.188711e+002	219932
4.261363e+002	219926
1.290798e+003	219918
1.294505e+003	219907
1.294538e+003	219794
1.328048e+003	219789
1.330944e+003	219664
1.514806e+003	219597
1.514859e+003	219571
1.514946e+003	219485
1.540299e+003	219267
1.544687e+003	219261
1.544809e+003	219255
1.546519e+003	219126
1.551284e+003	219062
1.551411e+003	219061
1.551646e+003	219032
1.551772e+003	219027
1.553334e+003	218618
1.553594e+003	218611
1.553826e+003	218565
1.553876e+003	218530
1.558841e+003	218529
1.558956e+003	218044
1.565420e+003	218018
1.572874e+003	218003
1.575790e+003	217997
1.580869e+003	217983
1.619509e+003	217950
1.619955e+003	217944
1.673974e+003	217910
2.527285e+003	217424
2.528310e+003	217384
2.528988e+003	217319
2.544747e+003	217263
2.545278e+003	217223
2.554029e+003	217196
2.558835e+003	217151
2.597709e+003	217063
2.655580e+003	216781
2.658474e+003	216551
2.658493e+003	216511
2.738285e+003	216510
2.738523e+003	216501
3.411339e+003	216347
3.412480e+003	216135
3.412521e+003	216090
3.412783e+003	215919
3.415636e+003	215883
3.431965e+003	215881
3.450575e+003	215853
3.450643e+003	215833
3.454040e+003	214976
3.454185e+003	214954
3.497301e+003	214939
3.879283e+003	214639
3.883206e+003	214637
3.978803e+003	214615
3.979117e+003	214613
3.979288e+003	214593
5.307599e+003	214240
5.319851e+003	214156
6.095553e+003	214154
6.095639e+003	214144
6.095767e+003	214109
6.097432e+003	213915
6.097530e+003	213835
6.097674e+003	213756
6.099098e+003	213619
6.099161e+003	213599
6.099494e+003	213574
6.110864e+003	213568
6.111444e+003	213558
6.112339e+003	213512
6.115031e+003	213510
6.115051e+003	213461
6.115087e+003	213441
6.115165e+003	213421
6.131932e+003	213406
6.137285e+003	213367
6.137606e+003	213347
6.742170e+003	213326
6.742227e+003	213179
6.747529e+003	212954
7.049003e+003	212625
7.049044e+003	212588
7.049140e+003	212583
7.056828e+003	212522
7.056924e+003	212143
7.081186e+003	212034
7.081496e+003	211903
7.081522e+003	211846
7.870952e+003	211771
9.581948e+003	211613
9.582894e+003	211603
9.583840e+003	211561
9.681540e+003	211075
9.682260e+003	210922
9.689255e+003	210907
9.691271e+003	210865
9.720052e+003	210763
9.721344e+003	210695
9.726688e+003	210680
