%NL14, T=600, betaT=0.990000, w=10000, maxC=3000, maxP=1500, maxR=10
%time (s)	cost
1.714880e+00	281859
2.743329e+00	277420
4.367862e+00	276876
4.852694e+00	274841
4.898007e+00	274697
4.917197e+00	274655
4.948130e+00	273695
5.371662e+00	270702
5.380070e+00	269980
6.763738e+00	269610
6.821340e+00	265717
6.836303e+00	264916
6.839372e+00	264724
6.872976e+00	264178
6.914948e+00	262827
6.928673e+00	262453
7.348047e+00	260558
7.456373e+00	257801
7.491169e+00	256975
7.500795e+00	256601
7.598568e+00	256222
7.649938e+00	254716
7.899792e+00	253771
7.964881e+00	250545
1.254501e+01	249980
1.257041e+01	249538
3.042838e+01	249300
3.047587e+01	248992
3.047936e+01	248432
3.114123e+01	248164
3.118690e+01	247316
3.244750e+01	247022
3.249374e+01	246225
3.289563e+01	244477
3.328850e+01	244353
3.329685e+01	244335
3.340547e+01	244218
3.345361e+01	244195
3.739841e+01	242886
3.761053e+01	241014
3.793165e+01	240946
3.794812e+01	238500
3.815608e+01	238090
4.034776e+01	237802
4.036416e+01	237337
1.785329e+02	237302
1.785557e+02	236646
1.793060e+02	236029
1.793917e+02	236017
1.794495e+02	234972
1.796502e+02	234924
1.796533e+02	234825
2.812952e+02	234333
2.813159e+02	233984
3.291484e+02	233955
5.763232e+02	233891
5.763308e+02	233633
6.605294e+02	232421
6.639701e+02	232289
6.640833e+02	231977
6.658064e+02	231157
6.663739e+02	231093
6.663850e+02	230344
6.663910e+02	229700
6.675546e+02	226455
9.463715e+02	225704
9.463783e+02	225282
9.464410e+02	225137
9.478638e+02	224664
9.478909e+02	224400
1.015634e+03	224237
1.015648e+03	223984
1.139516e+03	223203
1.139600e+03	222933
1.139616e+03	222406
1.139630e+03	222371
1.140251e+03	222164
1.145173e+03	222141
1.168370e+03	221761
1.168772e+03	220596
2.518266e+03	220026
2.640615e+03	218990
2.641210e+03	218790
2.641379e+03	218714
3.040910e+03	218699
3.050241e+03	218502
3.050326e+03	218269
3.050371e+03	217701
3.054650e+03	217217
3.056745e+03	217014
3.056774e+03	216616
3.056856e+03	216518
3.058643e+03	216188
3.058661e+03	215943
3.060907e+03	215901
3.061010e+03	215656
3.061704e+03	215643
3.061741e+03	215363
3.061773e+03	215162
3.062349e+03	214835
4.620446e+03	214521
4.621137e+03	214482
4.624692e+03	213800
4.625291e+03	213694
4.625369e+03	213546
4.634919e+03	213483
4.634943e+03	213390
4.654865e+03	213368
4.658177e+03	213303
4.658425e+03	212832
4.701335e+03	212824
4.701578e+03	212728
4.708528e+03	212682
4.708538e+03	212563
5.775778e+03	212515
5.775791e+03	212451
5.777205e+03	212325
5.831659e+03	212011
5.832659e+03	211889
5.834010e+03	211844
5.834402e+03	211552
5.856425e+03	211498
6.059442e+03	211243
6.530963e+03	211130
6.535772e+03	211031
6.536520e+03	211005
6.751170e+03	210995
6.752884e+03	210850
6.753676e+03	210699
6.753911e+03	210581
6.755168e+03	210572
6.756256e+03	210559
6.767524e+03	210366
6.768533e+03	210197
6.778464e+03	210141
6.778516e+03	209899
7.580081e+03	209655
7.581385e+03	209289
7.586122e+03	209276
7.588575e+03	208939
7.589095e+03	208867
7.621445e+03	208582
7.621710e+03	208359
1.185299e+04	208306
1.186435e+04	208267
1.191204e+04	208096
1.191530e+04	207795
1.232418e+04	207784
1.232898e+04	207504
1.233388e+04	207380
1.273369e+04	207308
1.273579e+04	207184
1.273925e+04	207176
1.278349e+04	206908
1.279446e+04	206863
1.279450e+04	206723
1.279574e+04	206548
1.280709e+04	206427
1.280713e+04	206328
1.515350e+04	206319
1.538568e+04	206311
1.556108e+04	206284
1.556332e+04	206196
1.556335e+04	206080
1.558284e+04	206045
1.558345e+04	206027
1.588939e+04	205836
1.588947e+04	205720
1.588954e+04	205628
1.588976e+04	205610
1.589221e+04	205552
1.589237e+04	205460
1.590039e+04	205159
1.592111e+04	205029
1.637162e+04	205016
1.637279e+04	204896
1.637405e+04	204878
1.638070e+04	204781
1.638076e+04	204689
1.638088e+04	204275
1.638101e+04	204089
1.640475e+04	203997
1.640625e+04	203979
