%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.311784e+000	153177
1.331833e+000	152926
1.347207e+000	151769
1.744696e+000	143673
2.402252e+000	143643
2.456598e+000	143108
2.496037e+000	142793
1.130146e+001	141284
1.135673e+001	140732
1.817449e+001	140365
1.833712e+001	140211
1.895821e+001	139630
1.905412e+001	138965
2.025154e+001	138747
2.044606e+001	137532
2.057626e+001	136968
2.072793e+001	136504
2.081096e+001	136481
2.081571e+001	136415
2.107362e+001	136193
5.171445e+001	136036
5.172162e+001	136026
5.183935e+001	135987
5.185655e+001	135539
6.611128e+001	135165
6.651288e+001	135076
6.660846e+001	134698
6.667647e+001	134529
6.694579e+001	134219
6.742067e+001	134085
6.782483e+001	133747
6.806576e+001	133524
6.871726e+001	133488
6.875260e+001	133428
7.185520e+001	133238
7.193068e+001	132850
8.239975e+001	132536
1.068910e+002	132366
1.215280e+002	131969
1.216184e+002	130291
1.272689e+002	129538
1.282784e+002	129351
1.284129e+002	129213
1.314128e+002	128975
1.332293e+002	128604
1.336936e+002	128569
1.344100e+002	128311
1.802901e+002	128067
1.973220e+002	128049
2.039390e+002	127998
2.130687e+002	127995
2.143518e+002	127854
2.144520e+002	127326
2.167987e+002	127203
2.168626e+002	126823
2.741352e+002	126819
2.786574e+002	126613
2.906411e+002	126313
2.925705e+002	126285
3.092794e+002	125970
3.150060e+002	125953
3.493422e+002	125280
3.502921e+002	125203
3.511752e+002	125056
3.520026e+002	125039
3.537825e+002	124997
3.551350e+002	123908
3.674763e+002	123672
3.674968e+002	123129
3.723298e+002	122937
3.732275e+002	122928
4.141702e+002	122922
4.144216e+002	122845
4.177195e+002	122689
4.363191e+002	122549
9.224422e+002	121809
9.240950e+002	121750
