%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.216950e+000	147809
9.992794e+000	143133
1.583883e+001	142947
1.592701e+001	142388
2.457663e+001	142129
4.261783e+001	142044
4.308263e+001	139676
5.579705e+001	134162
9.686490e+001	133948
9.726214e+001	133198
9.729822e+001	132748
1.205297e+002	132631
1.205981e+002	132545
1.230049e+002	132373
1.230471e+002	132136
1.231985e+002	131964
1.232680e+002	130792
1.233144e+002	130791
1.241819e+002	130147
1.244348e+002	129201
1.244879e+002	128650
1.406001e+002	127920
1.410511e+002	127245
1.843645e+002	126754
1.844307e+002	126005
1.846112e+002	125478
1.863424e+002	125145
1.864321e+002	125135
1.865989e+002	124694
1.866408e+002	124541
1.867157e+002	124524
1.867882e+002	124381
1.923244e+002	124255
1.950659e+002	124233
1.959079e+002	124179
1.960774e+002	124121
2.756793e+002	123604
2.758107e+002	123562
2.759385e+002	123515
2.800253e+002	123231
2.814946e+002	123204
2.817435e+002	123176
2.821043e+002	123084
2.833471e+002	123040
2.833728e+002	122996
2.849813e+002	122991
2.859883e+002	122916
3.179632e+002	122419
3.214006e+002	122397
3.480079e+002	122368
3.529479e+002	122031
3.535397e+002	121748
3.709388e+002	121720
3.770934e+002	120941
3.777022e+002	120656
3.778057e+002	120376
3.782200e+002	120360
3.896780e+002	120251
3.902840e+002	120123
3.906163e+002	119819
3.920919e+002	119807
