%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
3.863887e+000	145013
3.886059e+000	144464
3.907977e+000	144330
3.984491e+000	144295
4.072127e+000	143666
4.122661e+000	143608
4.153630e+000	143601
4.625179e+000	141506
1.472135e+001	141023
1.477775e+001	141014
1.640998e+001	139908
1.646429e+001	139749
1.759635e+001	139597
1.771192e+001	139360
2.388140e+001	139192
2.408238e+001	137638
2.416498e+001	137247
2.418093e+001	137021
4.840979e+001	135550
6.459526e+001	134671
6.480562e+001	134397
7.632856e+001	133928
7.635623e+001	133248
7.649955e+001	133246
7.659967e+001	133202
7.758674e+001	132648
7.763930e+001	132336
7.769447e+001	131936
7.773145e+001	131506
1.147151e+002	131294
1.147407e+002	131099
1.307815e+002	129941
1.308776e+002	129904
1.309765e+002	129461
1.310819e+002	129402
1.311008e+002	129286
1.907318e+002	128944
1.910131e+002	128824
1.958513e+002	128696
1.960115e+002	128682
1.973662e+002	128337
1.977579e+002	128188
1.980274e+002	128022
1.998892e+002	127720
2.002745e+002	127706
2.004711e+002	127686
2.143840e+002	127117
2.145571e+002	127116
2.147182e+002	127096
2.151483e+002	126607
2.155472e+002	126597
2.156059e+002	126506
2.174147e+002	126494
2.175925e+002	126324
2.281561e+002	126171
2.282182e+002	126158
2.292928e+002	126121
2.302167e+002	125713
2.303198e+002	124833
2.313791e+002	124742
2.418817e+002	124735
2.419462e+002	124543
2.578958e+002	124433
2.585025e+002	124279
2.585827e+002	123930
2.718670e+002	123756
2.728369e+002	123681
2.884147e+002	123423
2.884720e+002	123372
2.893160e+002	123335
2.895894e+002	123271
3.004822e+002	123038
3.019605e+002	123005
3.050650e+002	122702
3.059651e+002	122611
3.079938e+002	122505
1.439143e+003	121875
1.439358e+003	121828
1.439615e+003	121659
1.439928e+003	121612
1.441146e+003	121602
1.443099e+003	121517
1.445538e+003	121448
1.464998e+003	121364
1.465783e+003	121334
1.466733e+003	121279
1.466931e+003	121161
1.472029e+003	120838
1.472071e+003	120713
1.477394e+003	120629
1.479212e+003	120526
