%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.182001e+000	153177
1.193773e+000	152926
1.198399e+000	151769
1.552510e+000	143673
2.190832e+000	143643
2.242223e+000	143108
2.279144e+000	142793
1.110553e+001	141284
1.115992e+001	140732
1.803202e+001	140365
1.818913e+001	140211
1.881222e+001	139630
1.890705e+001	138965
2.010605e+001	138747
2.030084e+001	137532
2.043161e+001	136968
2.057619e+001	136504
2.065853e+001	136481
2.066318e+001	136415
2.091806e+001	136193
5.106245e+001	136036
5.107076e+001	136026
5.118549e+001	135987
5.120353e+001	135539
6.542531e+001	135165
6.583799e+001	135076
6.593372e+001	134698
6.599982e+001	134529
6.625817e+001	134219
6.671743e+001	134085
6.710861e+001	133747
6.738433e+001	133524
6.800799e+001	133488
6.804201e+001	133428
7.112520e+001	133238
7.119796e+001	132850
8.199916e+001	132536
1.076470e+002	132366
1.228630e+002	131969
1.229557e+002	130291
1.295240e+002	129538
1.307973e+002	129351
1.309281e+002	129213
1.346967e+002	128975
1.369249e+002	128604
1.374525e+002	128569
1.383187e+002	128311
1.860130e+002	128067
2.035478e+002	128049
2.101848e+002	127998
2.196174e+002	127995
2.209303e+002	127854
2.210292e+002	127326
2.233645e+002	127203
2.234281e+002	126823
2.804612e+002	126819
2.850625e+002	126613
2.973031e+002	126313
2.992163e+002	126285
3.157781e+002	125970
3.221637e+002	125953
3.569250e+002	125280
3.578521e+002	125203
3.587212e+002	125056
3.595448e+002	125039
3.613293e+002	124997
3.626799e+002	123908
3.748935e+002	123672
3.749186e+002	123129
3.797242e+002	122937
3.806186e+002	122928
4.212762e+002	122922
4.215240e+002	122845
4.248063e+002	122689
4.433638e+002	122549
9.259051e+002	121809
9.275407e+002	121750
