%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.405366e+00	153177
1.429086e+00	152926
1.439771e+00	151769
2.220245e+00	143673
3.589893e+00	143643
3.695363e+00	143108
3.771139e+00	142793
2.253045e+01	141284
2.266258e+01	140732
3.927282e+01	140365
3.963580e+01	140211
4.103666e+01	139630
4.123969e+01	138965
4.385831e+01	138747
4.427197e+01	137532
4.457429e+01	136968
4.492049e+01	136504
4.512862e+01	136481
4.514901e+01	136415
4.575513e+01	136193
1.142636e+02	136036
1.142805e+02	136026
1.145579e+02	135987
1.145919e+02	135539
1.456675e+02	135165
1.465603e+02	135076
1.467975e+02	134698
1.469643e+02	134529
1.475504e+02	134219
1.486186e+02	134085
1.494849e+02	133747
1.500042e+02	133524
1.514060e+02	133488
1.514826e+02	133428
1.581756e+02	133238
1.584125e+02	132850
1.826177e+02	132536
2.390497e+02	132366
2.714465e+02	131969
2.716654e+02	130291
2.839523e+02	129538
2.862270e+02	129351
2.864872e+02	129213
2.932212e+02	128975
2.979456e+02	128604
2.989069e+02	128569
3.004740e+02	128311
4.008267e+02	128067
4.378508e+02	128049
4.520761e+02	127998
4.719772e+02	127995
4.747982e+02	127854
4.750075e+02	127326
4.801938e+02	127203
4.803448e+02	126823
6.037389e+02	126819
6.135758e+02	126613
6.392268e+02	126313
6.434640e+02	126285
6.794263e+02	125970
6.917564e+02	125953
7.648762e+02	125280
7.670278e+02	125203
7.689655e+02	125056
7.707643e+02	125039
7.746305e+02	124997
7.775781e+02	123908
8.050305e+02	123672
8.050751e+02	123129
8.160820e+02	122937
8.181217e+02	122928
9.062005e+02	122922
9.067428e+02	122845
9.139701e+02	122689
9.544018e+02	122549
2.011154e+03	121809
2.014686e+03	121750
