%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.162570e+000	147809
1.054303e+001	143133
1.714360e+001	142947
1.720766e+001	142388
2.682075e+001	142129
4.624599e+001	142044
4.672774e+001	139676
6.027741e+001	134162
1.039570e+002	133948
1.043647e+002	133198
1.043880e+002	132748
1.290585e+002	132631
1.291099e+002	132545
1.316523e+002	132373
1.316752e+002	132136
1.317917e+002	131964
1.318281e+002	130792
1.318408e+002	130791
1.327707e+002	130147
1.330096e+002	129201
1.330315e+002	128650
1.505420e+002	127920
1.510067e+002	127245
1.984391e+002	126754
1.984904e+002	126005
1.986692e+002	125478
2.005569e+002	125145
2.006268e+002	125135
2.007568e+002	124694
2.007746e+002	124541
2.008270e+002	124524
2.008822e+002	124381
2.068455e+002	124255
2.097755e+002	124233
2.106786e+002	124179
2.108415e+002	124121
2.981697e+002	123604
2.982961e+002	123562
2.984415e+002	123515
3.033445e+002	123231
3.050218e+002	123204
3.052688e+002	123176
3.056780e+002	123084
3.068816e+002	123040
3.068963e+002	122996
3.086225e+002	122991
3.096970e+002	122916
3.434669e+002	122419
3.470127e+002	122397
3.748837e+002	122368
3.799767e+002	122031
3.805811e+002	121748
3.989638e+002	121720
4.053659e+002	120941
4.059943e+002	120656
4.060839e+002	120376
4.065139e+002	120360
4.183950e+002	120251
4.189945e+002	120123
4.193348e+002	119819
4.208360e+002	119807
