%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
9.042234e+00	147809
2.142372e+01	143133
3.400690e+01	142947
3.414820e+01	142388
5.263864e+01	142129
9.057963e+01	142044
9.156084e+01	139676
1.187659e+02	134162
2.074785e+02	133948
2.083237e+02	133198
2.084028e+02	132748
2.579606e+02	132631
2.580963e+02	132545
2.634014e+02	132373
2.634794e+02	132136
2.637418e+02	131964
2.638342e+02	130792
2.638965e+02	130791
2.657622e+02	130147
2.663386e+02	129201
2.664110e+02	128650
3.002692e+02	127920
3.012077e+02	127245
3.930061e+02	126754
3.931044e+02	126005
3.934478e+02	125478
3.972224e+02	125145
3.973588e+02	125135
3.976396e+02	124694
3.976785e+02	124541
3.977862e+02	124524
3.978815e+02	124381
4.099259e+02	124255
4.157554e+02	124233
4.175324e+02	124179
4.178483e+02	124121
5.915246e+02	123604
5.917617e+02	123562
5.919944e+02	123515
6.007872e+02	123231
6.040400e+02	123204
6.045246e+02	123176
6.053283e+02	123084
6.078333e+02	123040
6.078610e+02	122996
6.116424e+02	122991
6.138349e+02	122916
6.831861e+02	122419
6.905678e+02	122397
7.484907e+02	122368
7.595413e+02	122031
7.607739e+02	121748
7.981116e+02	121720
8.112556e+02	120941
8.125816e+02	120656
8.127665e+02	120376
8.136370e+02	120360
8.383427e+02	120251
8.396404e+02	120123
8.403157e+02	119819
8.435036e+02	119807
