%NL12, T=600, betaT=0.999900, w=10000, maxC=2500, maxP=2500, maxR=10
%time (s)	cost
5.008940e-01	153646
5.501520e-01	153379
7.531070e-01	152617
9.360540e-01	151127
1.230940e+00	150445
1.244121e+00	148985
2.115642e+00	147493
2.135901e+00	146605
2.138256e+00	146547
2.380211e+00	145864
2.409915e+00	145678
2.412840e+00	145569
2.684117e+00	145565
3.715863e+00	145360
3.735293e+00	145251
4.179554e+00	144767
4.240368e+00	144324
4.283289e+00	144215
4.292987e+00	144051
4.663557e+00	143704
4.721131e+00	143303
4.978881e+00	142767
6.142897e+00	141046
1.486865e+01	140667
1.487961e+01	140461
4.563432e+01	140428
4.762327e+01	140379
4.800677e+01	140251
4.875731e+01	140242
4.876371e+01	139454
4.936582e+01	139153
9.388810e+01	139102
9.389859e+01	138829
9.411864e+01	138769
9.416642e+01	138747
9.490096e+01	138695
1.370446e+02	138675
1.374136e+02	137133
1.514399e+02	136293
1.515596e+02	135463
3.501050e+02	134436
2.164562e+03	134430
2.164704e+03	134329
1.024763e+04	134318
1.024937e+04	134028
1.573303e+04	133649
1.573312e+04	133373
1.573328e+04	133194
2.833015e+04	133084
2.833019e+04	132353
3.196668e+04	132185
5.287615e+04	132152
5.287640e+04	131516
5.287653e+04	131407
5.287669e+04	131400
5.498694e+04	131140
5.498703e+04	131137
6.498814e+04	131094
6.498829e+04	130686
6.498844e+04	130398
6.499000e+04	130387
6.724074e+04	130278
6.724081e+04	129861
6.724084e+04	129635
6.724085e+04	128584
