%NL12, T=400, betaT=0.999900, w=10000, maxC=3000, maxP=1500, maxR=10
%time (s)	cost
3.083610e-01	157573
3.123760e-01	157189
3.331910e-01	157036
3.366220e-01	156047
3.652520e-01	153614
3.799290e-01	153273
4.976310e-01	151530
5.381060e-01	151398
5.462590e-01	150845
5.499620e-01	150798
6.563210e-01	149352
1.603273e+00	148982
1.604957e+00	148482
2.432777e+00	148342
4.851031e+00	146300
5.306842e+00	144936
5.407517e+00	143760
5.432436e+00	142404
6.526927e+00	141055
6.624909e+00	140944
7.918158e+00	140854
7.949783e+00	140648
7.999581e+00	140308
8.868020e+00	140172
1.247284e+01	138667
1.258817e+01	138642
1.263855e+01	138596
1.265610e+01	138425
1.272998e+01	138134
1.315086e+01	137669
1.338663e+01	136728
1.344847e+01	136293
1.352230e+01	135819
1.579341e+01	135663
2.326388e+01	135591
2.329241e+01	135570
2.346180e+01	134684
2.351901e+01	134671
2.499935e+01	134202
2.500636e+01	133605
3.177954e+01	133004
3.220612e+01	132420
3.229809e+01	131420
3.507261e+01	131345
1.921449e+02	131276
1.921619e+02	131267
1.922084e+02	130678
1.956972e+02	130670
1.957272e+02	130414
1.964276e+02	129479
1.966115e+02	129469
1.969051e+02	128599
1.969209e+02	128476
1.971322e+02	127396
