%NL12, T=600, betaT=0.999900, w=10000, maxC=2500, maxP=2500, maxR=10
%time (s)	cost
3.583700e-01	159820
1.629988e+00	151268
1.702217e+00	151265
1.740310e+00	148187
2.212122e+00	147673
4.531243e+00	145573
6.515864e+00	144453
6.527111e+00	144274
6.531013e+00	143536
6.719660e+00	143069
6.729008e+00	142689
1.390074e+01	141729
1.444241e+01	140323
1.444750e+01	140007
1.446414e+01	139236
4.180228e+01	139001
4.191017e+01	137986
2.092888e+02	137388
2.093067e+02	137001
1.015604e+03	136684
1.015781e+03	136590
1.015795e+03	136245
