%NL6, T=400, betaT=0.990000, w=4000, maxC=50, maxP=500, maxR=1
%time (s)	cost
1.556769e-002	29554
2.280171e-002	28794
5.727132e-002	28580
7.953811e-002	28544
8.097845e-002	28531
8.744854e-002	28211
1.104886e-001	27578
4.103714e-001	27515
4.166282e-001	27164
4.684664e-001	26713
5.488643e-001	26644
5.506370e-001	26123
1.509985e+000	25986
2.429553e+000	25515
2.521220e+000	25255
3.153425e+000	25051
3.278860e+000	24941
3.302450e+000	24694
3.389648e+000	24669
2.348364e+001	24621
2.373806e+001	24579
4.006843e+001	24467
