%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.904692e-001	155298
2.081013e+000	140748
3.330769e+000	140430
3.629335e+000	140357
1.358144e+001	139000
1.359262e+001	138986
1.362106e+001	138600
1.363955e+001	138402
1.365078e+001	138212
1.389179e+001	138109
1.417403e+001	137824
1.418305e+001	137822
1.486496e+001	137651
1.555391e+001	137310
1.560448e+001	136922
1.560945e+001	136768
1.567451e+001	136240
3.875829e+001	136193
3.880658e+001	136164
3.882172e+001	135821
3.891941e+001	135765
3.906388e+001	135681
3.908699e+001	135653
3.910505e+001	135263
6.079023e+001	134660
6.081171e+001	134464
6.083086e+001	133927
6.392602e+001	133531
6.394121e+001	133471
6.415272e+001	133214
6.420604e+001	133162
6.486981e+001	133118
6.487471e+001	132809
1.065880e+002	132541
1.067599e+002	132095
1.070458e+002	131991
1.319516e+002	130400
1.319672e+002	130332
1.319924e+002	129840
1.321342e+002	129073
1.323647e+002	129005
1.329119e+002	128990
1.329296e+002	128922
1.800072e+002	128921
2.203967e+002	128816
2.204365e+002	128778
2.204386e+002	128601
2.204736e+002	128583
2.205690e+002	128111
2.208866e+002	127106
2.218857e+002	127088
2.224284e+002	126513
2.225546e+002	126432
2.318864e+002	126177
2.322902e+002	126012
2.354429e+002	125994
2.430568e+002	125923
2.434059e+002	125896
2.437255e+002	125841
2.455583e+002	125689
2.456509e+002	125508
2.466215e+002	125420
2.468835e+002	125281
2.471949e+002	125253
2.473614e+002	125205
2.664803e+002	125131
2.670514e+002	124891
2.679324e+002	124822
2.742187e+002	124172
2.803006e+002	124036
2.803305e+002	123611
