%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
5.352130e+000	147809
1.242503e+001	143133
1.956908e+001	142947
1.966235e+001	142388
2.972238e+001	142129
5.054715e+001	142044
5.111621e+001	139676
6.739833e+001	134162
1.170985e+002	133948
1.176313e+002	133198
1.176815e+002	132748
1.465540e+002	132631
1.466278e+002	132545
1.492239e+002	132373
1.492765e+002	132136
1.494251e+002	131964
1.495124e+002	130792
1.495481e+002	130791
1.504874e+002	130147
1.507594e+002	129201
1.508089e+002	128650
1.702757e+002	127920
1.708102e+002	127245
2.227203e+002	126754
2.227977e+002	126005
2.229935e+002	125478
2.247712e+002	125145
2.248551e+002	125135
2.249948e+002	124694
2.250397e+002	124541
2.251132e+002	124524
2.251814e+002	124381
2.311707e+002	124255
2.343937e+002	124233
2.354117e+002	124179
2.356132e+002	124121
3.342604e+002	123604
3.344294e+002	123562
3.345939e+002	123515
3.396452e+002	123231
3.415549e+002	123204
3.418332e+002	123176
3.422397e+002	123084
3.435921e+002	123040
3.436437e+002	122996
3.456890e+002	122991
3.468796e+002	122916
3.868710e+002	122419
3.908932e+002	122397
4.203948e+002	122368
4.258748e+002	122031
4.264847e+002	121748
4.476395e+002	121720
4.553193e+002	120941
4.560920e+002	120656
4.562197e+002	120376
4.567649e+002	120360
4.695549e+002	120251
4.701821e+002	120123
4.705268e+002	119819
4.720933e+002	119807
