%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
3.974459e+000	145013
3.998576e+000	144464
4.036864e+000	144330
4.114942e+000	144295
4.206908e+000	143666
4.302932e+000	143608
4.440196e+000	143601
5.178938e+000	141506
1.619774e+001	141023
1.625783e+001	141014
1.789781e+001	139908
1.795399e+001	139749
1.907999e+001	139597
1.919495e+001	139360
2.552443e+001	139192
2.573613e+001	137638
2.583096e+001	137247
2.593401e+001	137021
5.090414e+001	135550
6.726804e+001	134671
6.746073e+001	134397
7.926461e+001	133928
7.927893e+001	133248
7.940465e+001	133246
7.950983e+001	133202
8.044587e+001	132648
8.049399e+001	132336
8.053923e+001	131936
8.056197e+001	131506
1.192431e+002	131294
1.192693e+002	131099
1.365664e+002	129941
1.366687e+002	129904
1.367734e+002	129461
1.368945e+002	129402
1.369169e+002	129286
2.028735e+002	128944
2.031629e+002	128824
2.082270e+002	128696
2.084340e+002	128682
2.097754e+002	128337
2.102131e+002	128188
2.105511e+002	128022
2.124962e+002	127720
2.128734e+002	127706
2.130744e+002	127686
2.273663e+002	127117
2.275337e+002	127116
2.276897e+002	127096
2.281001e+002	126607
2.284960e+002	126597
2.285528e+002	126506
2.305554e+002	126494
2.307283e+002	126324
2.427644e+002	126171
2.428626e+002	126158
2.441784e+002	126121
2.452682e+002	125713
2.453779e+002	124833
2.464997e+002	124742
2.580673e+002	124735
2.581509e+002	124543
2.763832e+002	124433
2.769760e+002	124279
2.770511e+002	123930
2.903782e+002	123756
2.914176e+002	123681
3.068865e+002	123423
3.069424e+002	123372
3.078318e+002	123335
3.081088e+002	123271
3.201926e+002	123038
3.216882e+002	123005
3.250073e+002	122702
3.258958e+002	122611
3.279302e+002	122505
1.484923e+003	121875
1.485149e+003	121828
1.485411e+003	121659
1.485684e+003	121612
1.486566e+003	121602
1.488428e+003	121517
1.490705e+003	121448
1.509134e+003	121364
1.509848e+003	121334
1.510858e+003	121279
1.511020e+003	121161
1.516260e+003	120838
1.516291e+003	120713
1.521777e+003	120629
1.523918e+003	120526
