%NL14, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.489862e+000	265857
1.678713e+000	265337
1.914223e+000	264919
1.932645e+000	264685
1.961324e+000	263912
2.189194e+000	262593
2.312876e+000	261964
6.083016e+000	261838
6.194236e+000	259825
6.992803e+000	256607
7.262668e+000	255218
7.322910e+000	252045
7.376070e+000	251039
8.927835e+000	250757
1.124355e+001	250741
1.131211e+001	250725
1.132178e+001	250627
1.146014e+001	249491
1.796119e+001	248818
1.797789e+001	247758
1.942844e+001	247649
1.943858e+001	247281
2.646223e+001	246796
2.651732e+001	246753
2.739901e+001	243478
2.759856e+001	243233
2.762522e+001	243061
3.623626e+001	241635
3.646125e+001	241309
5.760622e+001	241201
5.764533e+001	240591
5.769937e+001	240508
5.783811e+001	240384
5.788702e+001	240231
5.793371e+001	240060
5.794593e+001	239266
5.971677e+001	238542
5.986745e+001	237643
5.992537e+001	237449
5.992770e+001	236975
7.253971e+001	236463
7.254181e+001	236336
7.254865e+001	235753
7.466329e+001	235092
7.471743e+001	235042
7.489885e+001	233937
7.498778e+001	233750
7.499785e+001	233440
7.989853e+001	233221
8.018124e+001	232934
8.376036e+001	232260
8.908748e+001	232076
9.223465e+001	231853
9.274883e+001	231730
9.315782e+001	231654
9.323514e+001	231530
9.536227e+001	231468
9.554749e+001	231233
9.559967e+001	231061
1.829303e+002	230882
1.829423e+002	230773
1.830576e+002	230253
1.832830e+002	229483
1.833203e+002	228858
1.872820e+002	228517
1.899234e+002	228275
1.900632e+002	227879
1.901608e+002	227766
1.908614e+002	227683
1.924139e+002	227606
1.927973e+002	227547
1.930267e+002	227125
1.930917e+002	227120
2.160325e+002	227109
2.160398e+002	226890
2.160487e+002	226687
2.270191e+002	226675
2.272857e+002	226585
2.277502e+002	226366
2.322796e+002	226322
2.323982e+002	226042
2.324804e+002	225635
2.335850e+002	225570
2.336778e+002	225485
2.362451e+002	223887
2.597862e+002	223787
2.601588e+002	223643
2.601603e+002	223638
2.613496e+002	223553
2.614914e+002	223372
2.615173e+002	223088
2.616008e+002	222899
2.761713e+002	222869
2.771455e+002	222824
2.773977e+002	222823
3.066593e+002	222744
3.066668e+002	222325
3.067017e+002	222259
3.074815e+002	221903
3.078521e+002	221826
3.080212e+002	221655
3.087879e+002	221111
3.506887e+002	220940
3.532503e+002	220728
3.532696e+002	220494
5.100502e+002	220097
5.191963e+002	220078
5.209114e+002	219966
5.656850e+002	219309
5.659961e+002	219291
5.670939e+002	218956
5.686504e+002	218850
5.760875e+002	218741
5.761153e+002	218256
5.764810e+002	217822
5.765093e+002	217716
1.319334e+003	216764
1.320762e+003	216753
1.322031e+003	216698
1.322063e+003	216660
1.551529e+003	211985
1.551629e+003	211746
1.553123e+003	211615
1.554187e+003	211575
1.555825e+003	211401
1.556611e+003	211399
1.556836e+003	211322
1.595490e+003	211257
1.595606e+003	210786
1.595778e+003	210527
1.652547e+003	210436
1.658726e+003	210356
1.029313e+004	210339
1.029321e+004	210334
1.030502e+004	210320
1.033995e+004	210307
1.034246e+004	210215
1.045590e+004	210112
1.045608e+004	210042
1.045615e+004	210020
1.173158e+004	209748
1.173163e+004	209728
1.174427e+004	209478
1.174446e+004	209279
1.174457e+004	209203
1.206803e+004	209190
1.206809e+004	208715
1.207174e+004	208698
1.439943e+004	208483
1.439973e+004	208200
1.440839e+004	208091
